BlockType,DescriptionType,SentencePosition,Phrase
NecroTechLab,outside,second,"The large, reinforced doors stand ajar, one of them hanging loosely on rusted hinges. "
NecroTechLab,outside,second,"Shattered windows reflect the dim light, their jagged edges framing the void within. "
NecroTechLab,outside,second,The surrounding area is littered with discarded equipment and empty chemical canisters. 
NecroTechLab,outside,second,"Crumbling concrete pathways lead to the main entrance, their surfaces riddled with cracks and weeds. "
NecroTechLab,outside,second,"A dilapidated security checkpoint stands near the entrance, its roof caved in and consoles smashed. "
NecroTechLab,outside,third,"A faint trail of footprints in the dust suggests recent activity, though the source remains unseen. "
NecroTechLab,outside,third,"The occasional clang of loose metal echoes in the distance, carried by the wind. "
NecroTechLab,outside,third,"The air carries a metallic tang, a taste of oxidized machinery and chemical remnants. "
NecroTechLab,outside,third,"A toppled satellite dish lies near the building, its wires frayed and sparking intermittently. "
NecroTechLab,outside,third,"Crows circle above the compound, their harsh cries adding to the desolate atmosphere. "
NecroTechLab,outside,third,You can’t shake the feeling that this place holds secrets better left undisturbed.
Hospital,inside,first,"The sterile white walls are yellowed with age, and the floor is cracked and littered with debris."
Hospital,inside,second,"Old medical equipment lies scattered, long since rendered useless."
Hospital,inside,third,"The smell of decay and mildew permeates the air, making it hard to breathe."
Hospital,outside,first,"The facade is crumbling, with a faded red cross barely visible against the peeling paint."
Hospital,outside,second,Shattered windows offer a glimpse of the desolation within.
Hospital,outside,third,The eerie silence surrounding the building is broken only by the occasional creak of settling ruins.
Library,inside,first,Dusty shelves are lined with books in various states of decay.
Library,inside,second,"Shattered windows let sunlight filter in, casting eerie shadows."
Library,inside,third,The oppressive silence is broken only by the creak of old wood underfoot.
Library,outside,first,The brick exterior is overrun with vines and moss.
Library,outside,second,"The front doors hang loosely on their hinges, swaying with the breeze."
Library,outside,third,The weathered sign above the entrance is barely legible.
Junkyard,inside,first,Piles of rusting scrap metal are stacked haphazardly around the yard.
Junkyard,inside,second,Old appliances and disassembled vehicles create a maze of debris.
Junkyard,inside,third,The air is thick with the smell of rust and decay.
Junkyard,outside,first,A vast expanse of broken machinery stretches out in all directions.
Junkyard,outside,second,Rusting cars and jagged metal fragments litter the ground.
Junkyard,outside,third,The chain-link fence surrounding the yard is torn and sagging.
Street,outside,first,"The cracked asphalt stretches into the horizon, lined with abandoned vehicles and overgrown weeds."
Street,outside,second,"Power lines dangle precariously, casting strange shadows in the dim light."
Street,outside,third,"The wind whistles through the shattered windows of nearby buildings, carrying the scent of decay."
Street,inside,first,"Faded graffiti covers the walls, each tag telling a story of those who passed before."
Street,inside,second,"The remains of a burned-out car stand in the center of the street, a stark reminder of chaos."
Street,inside,third,"Discarded trash and scraps of paper blow around aimlessly, settling in the crevices of rubble."
Park,outside,first,"The grass is overgrown, and weeds have overtaken the pathways that once welcomed families."
Park,outside,second,"A broken swing set creaks in the wind, and a rusted fountain stands dry and cracked."
Park,outside,third,"Wildflowers bloom sporadically, adding spots of color to an otherwise bleak landscape."
Park,inside,first,"Benches lie overturned, their wood splintered and weathered by time."
Park,inside,second,"A tree has fallen over, its roots clawing out of the ground like desperate hands."
Park,inside,third,"The remains of a picnic area are scattered, with decayed tables and rusted bins."
Cemetery,outside,first,"Rows of gravestones stretch into the distance, some toppled and others shrouded in moss."
Cemetery,outside,second,"A wrought-iron gate stands ajar, its rusted hinges protesting with each gust of wind."
Cemetery,outside,third,"The silence is deafening, broken only by the rustle of dead leaves underfoot."
Cemetery,inside,first,"The air feels heavy, as though the weight of memories lingers in the space."
Cemetery,inside,second,"Crypts stand as silent sentinels, their stone doors cracked and weathered."
Cemetery,inside,third,"Vines snake up the gravestones, intertwining with the names and dates etched in stone."
Monument,outside,first,"The towering structure rises defiantly, though its surface is marred with cracks and graffiti."
Monument,outside,second,"Weathered inscriptions barely tell their stories, their words eroded by the passage of time."
Monument,outside,third,"The base of the monument is littered with debris, a stark contrast to its intended grandeur."
Monument,inside,first,"An eerie stillness fills the space, with echoes bouncing off the cold stone walls."
Monument,inside,second,"The air smells of damp stone and mildew, a testament to years of neglect."
Monument,inside,third,"Shards of a broken plaque lie scattered on the floor, their message lost forever."
Carpark,outside,first,Rows of empty spaces are filled with broken glass and overgrown weeds.
Carpark,outside,second,"A single rusted car remains, its tires deflated and its windows smashed."
Carpark,outside,third,"The concrete structure looms above, its once-bright paint now faded and peeling."
Carpark,inside,first,Oil stains and faded parking lines are the only remnants of the carpark’s former use.
Carpark,inside,second,"The echoes of your footsteps reverberate through the vast, empty space."
Carpark,inside,third,"Rusted rebar juts out from the cracked ceiling, a silent hazard in the shadows."
FireStation,outside,first,"The once-vital station is now a crumbling relic, its red bricks blackened with soot."
FireStation,outside,second,"A faded fire truck sits abandoned outside, its tires deflated and frame rusted."
FireStation,outside,third,"The tall garage doors are stuck halfway open, revealing a dark and empty interior."
FireStation,inside,first,"Rows of lockers stand ajar, their contents long pilfered by scavengers."
FireStation,inside,second,"The air smells faintly of smoke and damp concrete, a relic of past emergencies."
FireStation,inside,third,Broken fire hoses and empty oxygen tanks litter the station's once-busy floor.
PoliceDepartment,outside,first,"The building's facade is covered in grime, with shattered windows reflecting the decay."
PoliceDepartment,outside,second,"A rusting patrol car is parked outside, its siren long silenced."
PoliceDepartment,outside,third,The words 'To Serve and Protect' are barely visible under layers of dirt.
PoliceDepartment,inside,first,"Desks and chairs are overturned, papers scattered across the floor in chaotic disarray."
PoliceDepartment,inside,second,"The holding cells are empty, their doors left wide open, and graffiti covers the walls."
PoliceDepartment,inside,third,"The faint metallic smell of old blood lingers in the air, adding to the sense of dread."
Church,outside,first,"The steeple leans precariously, with ivy crawling up its weathered surface."
Church,outside,second,The large wooden doors are splintered and hang awkwardly on rusted hinges.
Church,outside,third,Cracked stained glass windows depict faded scenes of saints and angels.
Church,inside,first,"The altar is covered in dust, with tattered cloth and broken candlesticks scattered nearby."
Church,inside,second,"Pews are overturned, some reduced to piles of splinters by time and neglect."
Church,inside,third,"Light streams through the shattered windows, casting fractured rainbows on the cracked floor."
Warehouse,outside,first,"The massive metal doors are dented and rusted, barely hanging onto their tracks."
Warehouse,outside,second,The building's gray exterior is marked with faded company logos and peeling paint.
Warehouse,outside,third,Broken windows reveal towering shelves of debris inside the structure.
Warehouse,inside,first,"Rows of empty shelves stretch out into the darkness, their contents long gone."
Warehouse,inside,second,"The air is thick with the smell of mildew and rust, punctuated by creaking steel beams."
Warehouse,inside,third,A tangle of broken pallets and smashed crates litters the floor.
AutoRepair,outside,first,"The garage's sign is faded and barely legible, with letters missing or dangling precariously."
AutoRepair,outside,second,"A few rusted car frames sit abandoned outside, stripped of anything useful."
AutoRepair,outside,third,"The corrugated metal roof is bent and riddled with holes, offering little protection."
AutoRepair,inside,first,"The tools are scattered and rusted, and the air smells of old oil and decay."
AutoRepair,inside,second,Broken car parts and discarded tires create an obstacle course on the floor.
AutoRepair,inside,third,"A workbench sits in the corner, its surface covered in grease and ancient stains."
Factory,outside,first,"The towering smokestacks are cracked and covered in moss, long since unused."
Factory,outside,second,The chain-link fence surrounding the facility is torn and overgrown with weeds.
Factory,outside,third,"Faded signs warn against trespassing, their messages barely visible under layers of rust."
Factory,inside,first,"The assembly line is frozen in time, its conveyor belts covered in dust and debris."
Factory,inside,second,"Industrial machinery lies dormant, massive and imposing in the dim light."
Factory,inside,third,"The air is filled with the faint scent of grease and metal, relics of a long-dead industry."
School,outside,first,"The flagpole stands empty, its base surrounded by weeds and cracked pavement."
School,outside,second,"Faded paint peels from the walls, and the playground equipment is rusted and broken."
School,outside,third,"The windows are shattered, with jagged edges reflecting the empty halls inside."
School,inside,first,"Classroom desks are overturned, with torn textbooks and scattered supplies strewn about."
School,inside,second,"Bulletin boards display yellowed papers and faded posters, relics of a forgotten era."
School,inside,third,"The smell of mold and decay permeates the air, mixing with the faint scent of chalk dust."
Museum,outside,first,"Massive columns flank the entrance, their surfaces chipped and weathered by time."
Museum,outside,second,"The building is overrun with vines, its grandeur hidden beneath nature's reclamation."
Museum,outside,third,"Statues outside the museum are broken and worn, their features barely discernible."
Museum,inside,first,"Empty display cases line the walls, their glass shattered and frames rusted."
Museum,inside,second,"The grand staircase is covered in dust and debris, leading to nowhere."
Museum,inside,third,"What few artifacts remain are broken and scattered, relics of a time long past."
Nightclub,outside,first,"The neon sign flickers faintly, casting a ghostly glow over the desolate street."
Nightclub,outside,second,"Graffiti covers the once-glamorous facade, obscuring its former vibrancy."
Nightclub,outside,third,"The doors are chained shut, with posters for long-forgotten events still clinging to the walls."
Nightclub,inside,first,"The dance floor is cracked and dusty, with broken mirrors reflecting the emptiness."
Nightclub,inside,second,"The DJ booth is smashed, wires and equipment strewn across the stage."
Nightclub,inside,third,Empty bottles and tattered furniture are scattered throughout the shadowy space.
Pub,outside,first,"The pub's sign hangs crookedly, its once-cheery logo now faded and peeling."
Pub,outside,second,"The windows are boarded up, with graffiti marking the aged wooden panels."
Pub,outside,third,"A few empty barrels sit outside, their metal sides rusted and warped."
Pub,inside,first,"The bar counter is dusty, with shattered glasses and overturned stools scattered around."
Pub,inside,second,"The air is stale, tinged with the faint smell of old beer and mildew."
Pub,inside,third,"Tattered curtains hang from the windows, barely blocking the dim light filtering in."
Hospital,inside,first,"The sterile walls are chipped and faded, revealing layers of peeling paint beneath."
Hospital,inside,first,"Abandoned gurneys lie haphazardly in the halls, their wheels squeaking with the faintest nudge."
Hospital,inside,first,"Broken fluorescent lights hang precariously from the ceiling, casting uneven shadows."
Hospital,inside,first,"The faint smell of antiseptic lingers in the air, a haunting reminder of past treatments."
Hospital,inside,first,"Cracked tiles crunch underfoot, their once-pristine white surface now mottled with dirt."

Hospital,inside,second,"Rows of overturned beds line the corridors, tangled in dusty sheets and rusted IV stands."
Hospital,inside,second,"Scattered medical charts and syringes lie forgotten, hinting at an abrupt evacuation."
Hospital,inside,second,"Bloodstains mar the walls and floors, long dried and darkened to a deep rust-red."
Hospital,inside,second,"Empty oxygen tanks and surgical tools litter the corners, creating an eerie stillness."
Hospital,inside,second,"A rusted operating table sits in the center of a room, its surface stained and cracked."

Hospital,inside,third,"The flickering of a single light bulb punctuates the oppressive silence."
Hospital,inside,third,"A faint groan of strained metal echoes through the halls, amplifying the tension."
Hospital,inside,third,"The remnants of a wheelchair lie overturned, its wheels broken and frame bent."
Hospital,inside,third,"A lone surgical mask dangles from a hook, swaying gently in a nonexistent breeze."
Hospital,inside,third,"An old intercom crackles to life momentarily, emitting an unintelligible burst of static."

Hospital,outside,first,"The hospital’s facade is crumbling, with large chunks of concrete missing from the walls."
Hospital,outside,first,"Shattered windows line the upper floors, their jagged edges glinting in the dim light."
Hospital,outside,first,"The building’s once-bright red cross sign is now faded and barely visible."
Hospital,outside,first,"A collapsed awning lies in a heap near the entrance, rusted metal and torn fabric intertwined."
Hospital,outside,first,"Overgrown vines snake up the sides of the hospital, their grip tightening on the decaying structure."

Hospital,outside,second,"The main doors hang askew, one of them barely attached to its hinges."
Hospital,outside,second,"A pile of discarded medical waste sits near the entrance, long since scavenged for anything useful."
Hospital,outside,second,"Cracked pavement surrounds the hospital, with weeds sprouting defiantly between the fissures."
Hospital,outside,second,"Broken stretchers and IV poles are scattered around the entrance, abandoned in the rush to escape."
Hospital,outside,second,"The roof has partially caved in, leaving a gaping hole that exposes the skeletal remains of upper floors."

Hospital,outside,third,"The sound of distant sirens echoes faintly, a ghostly reminder of the chaos that once reigned here."
Hospital,outside,third,"A cold wind blows through the desolate courtyard, carrying the faint scent of decay."
Hospital,outside,third,"The rusted remnants of an ambulance sit parked outside, its doors swinging idly in the breeze."
Hospital,outside,third,"Graffiti covers the lower walls, a mix of desperate warnings and crude symbols."
Hospital,outside,third,"Birds circle overhead, their harsh cries adding to the somber atmosphere."
Library,inside,first,"Dusty shelves stand as silent sentinels, most of their contents long since scavenged or destroyed."
Library,inside,first,"The air is thick with the musty scent of aged paper and mildew."
Library,inside,first,"Scattered pages flutter on the floor, their edges yellowed and brittle."
Library,inside,first,"Once-pristine wooden desks are now marred with scratches and graffiti."
Library,inside,first,"Broken chandeliers dangle precariously, their crystals reflecting dim light."

Library,inside,second,"Rows of torn and crumbling books lie abandoned, their spines barely legible."
Library,inside,second,"A toppled ladder leans against a shelf, its rungs splintered and broken."
Library,inside,second,"Cobwebs stretch across the reading nooks, weaving intricate patterns of neglect."
Library,inside,second,"Fragments of shattered glass from skylights litter the carpeted floors."
Library,inside,second,"Faded posters of past events hang askew on the walls, their colors muted with age."

Library,inside,third,"A single desk lamp flickers sporadically, casting eerie shadows on the walls."
Library,inside,third,"The faint sound of dripping water echoes from somewhere deep within the building."
Library,inside,third,"An overturned chair lies in the corner, its cushion torn and stuffing exposed."
Library,inside,third,"A forgotten pair of glasses rests atop a dusty stack of books."
Library,inside,third,"The oppressive silence is broken only by the distant creak of settling wood."

Library,outside,first,"The library’s grand facade is now weathered and cracked, its columns streaked with grime."
Library,outside,first,"Vines have claimed much of the building, crawling over its once-proud architecture."
Library,outside,first,"The large double doors are splintered, their handles rusted and bent."
Library,outside,first,"Shattered windows reveal glimpses of the desolation within."
Library,outside,first,"The library's stone sign is chipped and faded, its name barely readable."

Library,outside,second,"The front steps are littered with debris, from broken stone to scattered books."
Library,outside,second,"An old bench sits warped and broken, its wood rotting from years of exposure."
Library,outside,second,"The surrounding courtyard is overgrown, wildflowers mingling with weeds and moss."
Library,outside,second,"Graffiti mars the outer walls, blending with the natural decay of time."
Library,outside,second,"A pair of rusted lampposts stand crookedly at the entrance, their bulbs long since shattered."

Library,outside,third,"A crow perches atop a gargoyle, its sharp cry echoing in the empty street."
Library,outside,third,"The air is heavy with the scent of damp stone and decaying leaves."
Library,outside,third,"The faint whistle of the wind passes through the shattered windows, carrying with it an air of melancholy."
Library,outside,third,"A forgotten bicycle leans against the side of the building, its frame rusted and wheels bent."
Library,outside,third,"Shadows from the overhanging branches of nearby trees dance across the cracked facade."
Junkyard,inside,first,"Massive piles of scrap metal form precarious towers, their edges jagged and rusted."
Junkyard,inside,first,"Old appliances and dismantled vehicles are scattered across the ground, their components exposed to the elements."
Junkyard,inside,first,"The air is thick with the acrid smell of rust and oil, clinging to everything."
Junkyard,inside,first,"Shards of glass and twisted wires litter the floor, making every step a cautious one."
Junkyard,inside,first,"Discarded tools and machinery lie forgotten, their usefulness long expired."

Junkyard,inside,second,"A gutted bus sits in the center, its seats torn and frame stripped bare."
Junkyard,inside,second,"An overturned barrel leaks a dark, viscous liquid, pooling in the dirt below."
Junkyard,inside,second,"The faint clinking of loose metal echoes as the wind stirs through the heaps."
Junkyard,inside,second,"A trail of footprints weaves between the piles, evidence of recent scavengers."
Junkyard,inside,second,"Rusted chains dangle from a broken pulley system, swaying gently in the breeze."

Junkyard,inside,third,"A single crow caws from atop a mound of crushed cars, its call cutting through the silence."
Junkyard,inside,third,"The distant hum of machinery suggests someone might still be working nearby."
Junkyard,inside,third,"A faded sign lies half-buried in the dirt, warning of hazardous materials."
Junkyard,inside,third,"A broken vending machine leans against a heap of junk, its contents long pilfered."
Junkyard,inside,third,"The eerie quiet is punctuated by the occasional clatter of shifting debris."

Junkyard,outside,first,"The junkyard stretches endlessly, a chaotic maze of rusting metal and discarded debris."
Junkyard,outside,first,"Tall fences topped with barbed wire encircle the area, though many sections are broken or missing."
Junkyard,outside,first,"A dilapidated sign at the entrance reads 'Scrap Paradise,' its letters barely legible."
Junkyard,outside,first,"The ground outside is littered with smaller scraps of metal and broken glass."
Junkyard,outside,first,"A watchtower stands at the edge, its wooden frame warped and leaning dangerously."

Junkyard,outside,second,"Rows of crushed cars form a makeshift wall, their frames flattened and rusting."
Junkyard,outside,second,"Vines and weeds have begun to claim the outskirts, creeping over the metal debris."
Junkyard,outside,second,"The air is thick with the metallic tang of rust and grease, carried on the wind."
Junkyard,outside,second,"An old crane looms in the distance, its arm frozen in mid-motion."
Junkyard,outside,second,"A stray dog rummages through the trash, darting away at the slightest sound."

Junkyard,outside,third,"The sound of distant clanging echoes faintly, hinting at activity within."
Junkyard,outside,third,"Clouds of dust rise with each gust of wind, coating everything in a fine layer of grime."
Junkyard,outside,third,"A broken-down truck rests near the entrance, its cab gutted and wheels missing."
Junkyard,outside,third,"The faint scent of burning metal lingers in the air, suggesting recent activity."
Junkyard,outside,third,"The oppressive quiet is broken only by the occasional creak of shifting scrap."
Street,outside,first,"The asphalt is cracked and riddled with potholes, weeds sprouting defiantly through the gaps."
Street,outside,first,"Abandoned vehicles line the street, their windows shattered and frames rusting."
Street,outside,first,"Streetlights stand crooked, their bulbs long shattered, casting eerie shadows in the moonlight."
Street,outside,first,"Discarded trash and broken furniture are strewn across the sidewalk, untouched for years."
Street,outside,first,"The faded markings on the road are barely visible, worn away by time and neglect."

Street,outside,second,"A traffic light dangles precariously from its wires, swaying in the breeze."
Street,outside,second,"Graffiti covers the walls of nearby buildings, some of it fresh, some faded beyond recognition."
Street,outside,second,"A stray newspaper flutters down the street, its print blurred and illegible."
Street,outside,second,"A lone fire hydrant leaks water, creating a small puddle that reflects the dreary surroundings."
Street,outside,second,"The distant sound of a barking dog echoes through the otherwise silent neighborhood."

Street,outside,third,"A faint trail of footprints leads off into the distance, vanishing into the dust-covered road."
Street,outside,third,"The smell of mildew and decay hangs in the air, carried by the faintest of breezes."
Street,outside,third,"A toppled mailbox lies in the gutter, its door hanging open and empty."
Street,outside,third,"Shattered glass glitters in the sunlight, remnants of long-broken windows."
Street,outside,third,"The oppressive quiet is broken only by the faint hum of distant power lines."
Park,outside,first,"The overgrown grass sways gently in the breeze, dotted with wildflowers reclaiming the space."
Park,outside,first,"Benches with peeling paint and rusting legs line a cracked pathway winding through the park."
Park,outside,first,"A dried-up fountain sits at the center of the park, its stone edges chipped and weathered."
Park,outside,first,"The swings on the playground creak eerily, their chains rusted and seats covered in moss."
Park,outside,first,"Trees with sprawling branches provide shade over areas now overtaken by creeping vines."

Park,outside,second,"A broken statue of a once-celebrated figure stands at the park's edge, now a perch for birds."
Park,outside,second,"An old picnic table lies overturned near the remnants of a barbecue pit, long unused."
Park,outside,second,"A thin stream of water trickles through what was once a lively pond, now filled with algae."
Park,outside,second,"Graffiti adorns the concrete walls of a nearby pavilion, adding bursts of color to the decay."
Park,outside,second,"The distant chirping of birds contrasts with the stillness of the deserted playground."

Park,outside,third,"The smell of damp earth and rotting leaves fills the air, mingling with faint floral notes."
Park,outside,third,"A forgotten book lies beneath a bench, its pages swollen and stuck together by moisture."
Park,outside,third,"Shadows stretch long across the park as the sun dips low, casting a golden glow over the scene."
Park,outside,third,"The sound of rustling leaves and the occasional crack of a branch punctuate the quiet."
Park,outside,third,"A path leads deeper into the park, its end obscured by thick overgrowth and looming trees."
Cemetery,outside,first,"Rows of weathered gravestones stretch out across the cemetery, their inscriptions barely legible."
Cemetery,outside,first,"Tall, rusting wrought-iron gates stand open, leading into the graveyard, their hinges creaking in the wind."
Cemetery,outside,first,"A large stone mausoleum looms in the center, covered in creeping ivy and bathed in shadows."
Cemetery,outside,first,"A lone raven perched on a gravestone watches silently, its feathers ruffled by the cold wind."
Cemetery,outside,first,"The cemetery’s wrought-iron fence is broken in places, leaving gaps where the earth has started to reclaim it."

Cemetery,outside,second,"Moss and lichen grow thick on the tombstones, making the once-pristine markers blend with the earth."
Cemetery,outside,second,"The distant howling of wind echoes through the cemetery, disturbing the otherwise eerie silence."
Cemetery,outside,second,"A cracked and broken statue of an angel stands at the entrance, its face eroded by time."
Cemetery,outside,second,"The smell of damp earth and decaying leaves fills the air as the wind stirs the tall grass."
Cemetery,outside,second,"Sunlight filters through the branches of nearby trees, casting long shadows across the cemetery grounds."

Cemetery,outside,third,"A chill runs through the air, carrying the faint scent of decay and forgotten memories."
Cemetery,outside,third,"The gravestones are uneven, some leaning and others sunken into the earth, as if being slowly pulled under."
Cemetery,outside,third,"The soft murmur of the wind moving through the trees is the only sound that breaks the silence."
Cemetery,outside,third,"A faded photograph of a long-dead person rests against a gravestone, as if left by a forgotten visitor."
Cemetery,outside,third,"A thin layer of fog lingers near the ground, making the cemetery feel even more desolate."
Carpark,outside,first,"Rows of empty, weathered parking spaces stretch out before you, each one marked with faded white lines."
Carpark,outside,first,"The cracked asphalt is littered with debris, while weeds push through the gaps in the pavement."
Carpark,outside,first,"A rusting metal gate is slightly ajar, the remnants of an old sign hanging loosely above."
Carpark,outside,first,"The smell of oil and gasoline still lingers in the air, despite the long abandonment."
Carpark,outside,first,"Abandoned vehicles sit scattered throughout the lot, some stripped of their parts, others in varying stages of decay."

Carpark,outside,second,"Faded yellow lines divide the parking spaces, many of which are now cracked and uneven."
Carpark,outside,second,"A single, broken streetlight flickers weakly, casting dim light over the lot as dusk settles."
Carpark,outside,second,"The ground is littered with trash, old car tires, and empty bottles, evidence of long-forgotten visitors."
Carpark,outside,second,"A few derelict cars remain, their windows shattered, and their paint peeling from years of exposure to the elements."
Carpark,outside,second,"Graffiti covers the walls of the surrounding buildings, adding a touch of urban decay to the desolate lot."

Carpark,outside,third,"A cold breeze sweeps through the lot, carrying with it the faint scent of rust and old rubber."
Carpark,outside,third,"The empty spaces are eerily quiet, with only the sound of distant wind moving through the cracked pavement."
Carpark,outside,third,"A lone, rusted vending machine stands in a corner, its glass shattered and its contents long gone."
Carpark,outside,third,"The empty carpark feels vast and abandoned, as if no one has been here in years."
Carpark,outside,third,"A broken-down vehicle, covered in vines, serves as a grim reminder of the past."
Monument,outside,first,"The towering structure looms before you, its surface chipped and cracked by years of neglect."
Monument,outside,first,"A grand monument, its stone face weathered and eroded, stands in stark contrast to the surrounding decay."
Monument,outside,first,"The monument's base is surrounded by overgrown weeds, with the stone surfaces worn by time."
Monument,outside,first,"A statue atop the monument gazes out over the ruined city, its once-proud posture now a mere shadow of its former glory."
Monument,outside,first,"Faded engravings on the monument’s base hint at a long-forgotten history, barely legible in the dim light."

Monument,outside,second,"Vines crawl up the weathered stone, obscuring parts of the engravings and adding to the structure's ruin."
Monument,outside,second,"The monument's edges are jagged, cracked from years of exposure to the elements and neglect."
Monument,outside,second,"Broken stone steps lead up to the base of the monument, some cracked and others completely missing."
Monument,outside,second,"The plaza surrounding the monument is empty, with only the echoes of the past left in the air."
Monument,outside,second,"The once-pristine bronze plaque now sits tarnished and barely visible, a shadow of its original brilliance."

Monument,outside,third,"A cold wind blows through the monument, causing the surrounding trees to sway and adding to the desolation."
Monument,outside,third,"The distant sound of falling rocks echoes as parts of the monument crumble to the ground."
Monument,outside,third,"Patches of moss and lichen cling to the cold stone, giving it an eerie, almost alive appearance."
Monument,outside,third,"A lone raven perches on the top of the monument, watching the surrounding area with cold, indifferent eyes."
Monument,outside,third,"The monument stands stoically, enduring the ravages of time and weather, a silent witness to the past."
FireStation,outside,first,"The fire station's exterior is marked by faded red paint, with the old fire truck garage doors hanging crookedly."
FireStation,outside,first,"The fire station stands at the edge of the street, its once-vibrant walls now chipped and weathered by time."
FireStation,outside,first,"The fire station's tall tower is silent now, with no sirens blaring through the empty streets."
FireStation,outside,first,"The garage doors hang half-open, revealing rusted equipment and abandoned fire trucks that haven't moved in years."
FireStation,outside,first,"A weathered emblem of a firetruck remains above the door, though time has worn it nearly to obscurity."

FireStation,outside,second,"Broken windows line the upper floor, with the glass long since shattered and the frames left to rot."
FireStation,outside,second,"The fire station's front steps are cracked, with weeds growing through the gaps in the stone."
FireStation,outside,second,"Old fire hoses dangle from the side of the building, their once vibrant red color now faded and torn."
FireStation,outside,second,"The exterior door of the fire station hangs loosely, barely clinging to its frame."
FireStation,outside,second,"The exterior is covered in grime, the bright colors of the past now dulled by years of exposure to the elements."

FireStation,outside,third,"The faint smell of smoke lingers in the air, a remnant of the station's once-crucial purpose."
FireStation,outside,third,"A lone tree stands nearby, its branches stretching toward the crumbling fire station as if mourning its past."
FireStation,outside,third,"A rusted fire hydrant sits near the entrance, its purpose long forgotten."
FireStation,outside,third,"Empty and quiet, the fire station stands as a silent reminder of a time when it was vital to the community."
FireStation,outside,third,"The sound of the wind rustling through abandoned equipment is the only noise here."

FireStation,inside,first,"Inside, the garage is filled with empty vehicle spaces, the fire trucks long gone, leaving only the scent of old smoke."
FireStation,inside,first,"The walls are lined with rusted tools, long since abandoned and gathering dust in the airless room."
FireStation,inside,first,"The fire station's interior is dark, with rotting wooden beams and shattered shelves holding old, unused equipment."
FireStation,inside,first,"Broken lockers and old uniforms are scattered across the floor, remnants of a time when this place was bustling with activity."
FireStation,inside,first,"The interior of the fire station is cold and barren, with only the echoes of your footsteps filling the empty space."

FireStation,inside,second,"The old fire truck bays are lined with dust, and the faint smell of burnt wood still clings to the walls."
FireStation,inside,second,"A disarray of equipment and abandoned firefighting gear litters the floor, untouched for years."
FireStation,inside,second,"The dim light from broken windows filters into the room, illuminating the dust motes swirling in the stale air."
FireStation,inside,second,"The walls are lined with old fire hoses and rusted tools, reminders of a time long passed."
FireStation,inside,second,"Faded pictures of firefighters in action hang crookedly on the walls, their glossy surfaces covered in dust."

FireStation,inside,third,"Old signs and instructions are barely legible, the paint peeling from years of neglect."
FireStation,inside,third,"A lone chair sits in the corner, untouched and covered in dust, as though the station was abandoned mid-shift."
FireStation,inside,third,"The atmosphere inside is heavy with the smell of mildew and decaying wood, the structure slowly falling apart."
FireStation,inside,third,"You hear the distant sound of dripping water, a reminder of the leaks and decay that have overtaken the station."
FireStation,inside,third,"The interior is eerily quiet, save for the occasional creaking of the building settling in the empty space."
